;number_of_peaks_p1;number_of_peaks_p2;number_of_peaks_p3;number_of_peaks_p4;max_height_of_peaks_p1;max_height_of_peaks_p2;max_height_of_peaks_p4;sum_spectrum_p1;max_spectrum_p1;mean_spectrum_p1;target
0;0.012163486193197402;0.007702220362092303;0.05475051477140831;0.0017436796048268374;0.056138738557018404;0.08483749637158579;0.14075337340350352;7.669240352197094e-05;1.1777281058910358e-05;7.669240352197094e-05;0
1;0.0;0.0017167386190545491;0.009478743954543739;0.006089622994374205;0.0;0.04742189858746521;0.08069608152628575;0.000325627791673894;4.752070538890118e-05;0.000325627791673894;0
2;0.005231049417552503;0.007702220362092303;0.03738753207162041;0.0034843240826108427;0.05600032295097055;0.13476184022116122;0.12864670563457273;0.00013376922606830326;3.414274635993156e-05;0.00013376922606830326;0
3;0.07004127277116817;0.005995735306334188;0.016316377432147883;0.007822725681209078;0.2688202416532361;0.08948432747084879;0.11177775951232229;0.005549000399497967;0.0010789968241127633;0.005549000399497967;1
4;0.043615292425867834;0.005141399500418652;0.0034572203838577208;0.0008722198546859192;0.15833646876429638;0.1408133722334242;0.055816487706947485;0.008001266251297169;0.0016236772187225486;0.008001266251297169;1
5;0.07815820045274464;0.008554372096658595;0.017167803622365498;0.006956549793359931;0.22042690520688887;0.13797130521067721;0.13967987454132166;0.008003542183430462;0.0015139561253713393;0.008003542183430462;1
6;0.005231049417552503;0.0008587377084178045;0.00431966114451638;0.0;0.15161337657197185;0.09664463758434835;0.18517743348599836;0.004905610757338617;0.005595576785516662;0.004905610757338617;0
7;0.005231049417552503;0.0008587377084178045;0.00431966114451638;0.0026143805740708936;0.04995195316148609;0.03529967336832702;0.07986446942671611;0.006666261030716618;0.007989075065710465;0.006666261030716618;0
8;0.0026189451896275733;0.0008587377084178045;0.00431966114451638;0.0008722198546859192;0.11097499146635252;0.05771744296221627;0.10187507298946526;5.00891396734758e-05;0.00010311475163398826;5.00891396734758e-05;0
9;0.07248327642672;0.03544674899574771;0.10041323307664547;0.024139103113356875;0.6138103324038273;0.5843152815042525;0.5783253350219589;0.08530064738353207;0.06955088753452536;0.08530064738353207;0
